Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.6476E-17,0.16214,1.7188E-15,0,0,0,0.024892,1.0353E-05,-1.0923E-21,-9.3058E-22,1.5627E-05,3.3417E-22,7.5413E-06,0,0,0,0,0,0,package://Severus_1/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Severus_1/meshes/base_link.STL,,Base_link_01-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_11,-0.005742,0,-1.7225E-15,0,0,0,0.0033525,1.2441E-07,-9.5724E-24,-2.4511E-24,1.9435E-07,2.6296E-25,2.0287E-07,0,0,0,0,0,0,package://Severus_1/meshes/Link_11.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Severus_1/meshes/Link_11.STL,,Link_1_01-1,Origin_Joint_11,Axis_Joint_11,Joint_11,continuous,-0.02,0,0.14812,-1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
Link_12,-0.0098841,-0.027374,5.9674E-16,0,0,0,0.02541,1.8947E-05,-8.0624E-08,-1.522E-22,2.1018E-06,-9.2115E-21,1.7357E-05,0,0,0,0,0,0,package://Severus_1/meshes/Link_12.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Severus_1/meshes/Link_12.STL,,Link_2_01-1,Origin_Joint_12,Axis_Joint_12,Joint_12,continuous,-0.0175,0,0,2.5307,0,0,Link_11,1,0,0,,,,,,,,,,,,
Link_13,-0.005,-0.040482,3.4694E-18,0,0,0,0.009669,7.878E-06,1.6532E-21,-3.4437E-23,3.2746E-07,8.9997E-22,7.5933E-06,0,0,0,0,0,0,package://Severus_1/meshes/Link_13.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Severus_1/meshes/Link_13.STL,,Link_3_01-1,Origin_Joint_13,Axis_Joint_13,Joint_13,continuous,-0.005,-0.07,0,1.1345,0,0,Link_12,1,0,0,,,,,,,,,,,,
Link_14,-0.00500000000000002,-0.00952810322272496,0.00950499909017666,0,0,0,0.0180342917352885,5.05303717496673E-06,-2.10409767457236E-23,2.69571912809291E-22,6.05790585277192E-06,8.08906233059054E-08,1.4576451211458E-06,0,0,0,0,0,0,package://Severus_1/meshes/Link_14.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Severus_1/meshes/Link_14.STL,,Link_4_01-1,Origin_Joint_14,Axis_Joint_14,Joint_14,continuous,0,-0.0875,0,-0.5236,0,0,Link_13,1,0,0,,,,,,,,,,,,
Link_21,-0.00574200859091186,0,-1.69896116114315E-15,0,0,0,0.00335246123733575,1.24413412730388E-07,-3.06887560375041E-25,1.80209057521074E-24,1.94351591408284E-07,1.04258005381487E-24,2.02865184781049E-07,0,0,0,0,0,0,package://Severus_1/meshes/Link_21.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Severus_1/meshes/Link_21.STL,,Link_1_01-2,Origin_Joint_21,Axis_Joint_21,Joint_21,continuous,0.02,0,0.14812,1.5708,0,3.1416,base_link,0,0,1,,,,,,,,,,,,
Link_22,-0.00988409047286153,-0.0273742406583679,-1.69309011255336E-15,0,0,0,0.025409844949343,1.89468841854314E-05,-8.06237937655535E-08,-1.58818677610181E-22,2.10175576624801E-06,-1.01643953670516E-20,1.73574273030482E-05,0,0,0,0,0,0,package://Severus_1/meshes/Link_22.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Severus_1/meshes/Link_22.STL,,Link_2_01-2,Origin_Joint_22,Axis_Joint_22,Joint_22,continuous,-0.0175,0,0,0.61087,0,0,Link_21,1,0,0,,,,,,,,,,,,
Link_23,-0.005,-0.0404822955357177,1.38777878078145E-17,0,0,0,0.00966897109721958,7.87804513826546E-06,-1.95728282103972E-23,-1.13844502096177E-23,3.2746084733151E-07,2.35581038455102E-21,7.59332603976631E-06,0,0,0,0,0,0,package://Severus_1/meshes/Link_23.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Severus_1/meshes/Link_23.STL,,Link_3_01-2,Origin_Joint_23,Axis_Joint_23,Joint_23,continuous,-0.005,-0.07,0,-1.1345,0,0,Link_22,1,0,0,,,,,,,,,,,,
Link_24,0.00500000000000001,-0.00952810322272496,0.00950499909017666,0,0,0,0.0180342917352885,5.05303717496672E-06,-7.47898906715118E-23,-7.8228964090395E-23,6.05790585277192E-06,8.08906233059055E-08,1.4576451211458E-06,0,0,0,0,0,0,package://Severus_1/meshes/Link_24.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Severus_1/meshes/Link_24.STL,,Link_4_01-2,Origin_Joint_24,Axis_Joint_24,Joint_24,continuous,0,-0.0875,0,2.618,0,3.1416,Link_23,1,0,0,,,,,,,,,,,,
